"","Stationnumber","weekday","Rideoutminusin"
"476","30067","Wed",0.4
"477","30068","Fri",0.04
"478","30068","Mon",-0.0909090909090909
"479","30068","Sat",0.0377358490566038
"480","30068","Sun",-0.0588235294117647
"481","30068","Thu",0.0384615384615385
"482","30068","Tue",-0.214285714285714
"483","30068","Wed",-0.127272727272727
"484","30069","Fri",0.0217391304347826
"485","30069","Mon",0.0810810810810811
"486","30069","Sat",0.35
"487","30069","Sun",-0.152173913043478
"488","30069","Thu",0.151515151515152
"489","30069","Tue",-0.0277777777777778
"490","30069","Wed",0.0350877192982456
"491","30070","Fri",0.222222222222222
"492","30070","Mon",-0.0588235294117647
"493","30070","Sat",0.444444444444444
"494","30070","Sun",-0.0740740740740741
"495","30070","Thu",0.157894736842105
"496","30070","Tue",-0.15
"497","30070","Wed",0.25
"498","30071","Fri",-0.103448275862069
"499","30071","Mon",-0.0238095238095238
"500","30071","Sat",-0.181818181818182
"501","30071","Sun",0.0384615384615385
"502","30071","Thu",-0.283018867924528
"503","30071","Tue",-0.0701754385964912
"504","30071","Wed",0.0634920634920635
"505","30072","Fri",0.0285714285714286
"506","30072","Mon",-0.161290322580645
"507","30072","Sat",0
"508","30072","Sun",0.145833333333333
"509","30072","Thu",-0.0857142857142857
"510","30072","Tue",-0.0975609756097561
"511","30072","Wed",-0.0869565217391304
"512","30073","Fri",0.268456375838926
"513","30073","Mon",0.110344827586207
"514","30073","Sat",0.197530864197531
"515","30073","Sun",-0.0627450980392157
"516","30073","Thu",0.328767123287671
"517","30073","Tue",0.0223880597014925
"518","30073","Wed",0.062992125984252
"519","30074","Fri",0.105121293800539
"520","30074","Mon",-0.0169971671388102
"521","30074","Sat",-0.0033112582781457
"522","30074","Sun",-0.0526315789473684
"523","30074","Thu",0.0779944289693593
"524","30074","Tue",0.0518731988472622
"525","30074","Wed",0.0056657223796034
"526","30075","Fri",0.105263157894737
"527","30075","Mon",0.191489361702128
"528","30075","Sat",0.142857142857143
"529","30075","Sun",0.239316239316239
"530","30075","Thu",0.219512195121951
"531","30075","Tue",0.123188405797101
"532","30075","Wed",0.162337662337662
"533","30076","Fri",0.0482758620689655
"534","30076","Mon",-0.0378787878787879
"535","30076","Sat",0.102564102564103
"536","30076","Sun",0.0288461538461538
"537","30076","Thu",-0.0215827338129496
"538","30076","Tue",0.0416666666666667
"539","30076","Wed",0.0584415584415584
"540","30077","Fri",-0.159090909090909
"541","30077","Mon",-0.0428571428571429
"542","30077","Sat",-0.024390243902439
"543","30077","Sun",0.0983606557377049
"544","30077","Thu",-0.158878504672897
"545","30077","Tue",0.0379746835443038
"546","30077","Wed",-0.0652173913043478
"547","30078","Fri",-0.0641025641025641
"548","30078","Mon",0.15
"549","30078","Sat",-0.259259259259259
"550","30078","Sun",0.04
"551","30078","Thu",-0.290697674418605
"552","30078","Tue",0
"553","30078","Wed",-0.0757575757575758
"554","30079","Fri",0.125
"555","30079","Mon",0.1
"556","30079","Sat",0.0578512396694215
"557","30079","Sun",0.227272727272727
"558","30079","Thu",0.08
"559","30079","Tue",0.0396039603960396
"560","30079","Wed",0.16260162601626
"561","30080","Fri",-0.130434782608696
"562","30080","Mon",-0.152284263959391
"563","30080","Sat",-0.164179104477612
"564","30080","Sun",-0.138248847926267
"565","30080","Thu",-0.29585798816568
"566","30080","Tue",-0.0625
"567","30080","Wed",-0.0515021459227468
"568","30081","Fri",-0.0734463276836158
"569","30081","Mon",-0.0167597765363128
"570","30081","Sat",0.104895104895105
"571","30081","Sun",0.0779220779220779
"572","30081","Thu",-0.0914285714285714
"573","30081","Tue",-0.0650887573964497
"574","30081","Wed",-0.143790849673203
"575","30082","Fri",0.0294117647058824
"576","30082","Mon",-0.0579710144927536
"577","30082","Sat",0.260869565217391
"578","30082","Sun",0.32
"579","30082","Thu",0.169811320754717
"580","30082","Tue",-0.126984126984127
"581","30082","Wed",-0.197530864197531
"582","30083","Fri",-0.166666666666667
"583","30083","Mon",0.075
"584","30083","Sat",0.0285714285714286
"585","30083","Sun",-0.0247933884297521
"586","30083","Thu",0.0158730158730159
"587","30083","Tue",0.0735294117647059
"588","30083","Wed",0.0273972602739726
"589","30084","Fri",-0.27027027027027
"590","30084","Mon",0.358974358974359
"591","30084","Sat",0.234042553191489
"592","30084","Sun",0.0789473684210526
"593","30084","Thu",-0.228070175438596
"594","30084","Tue",-0.380952380952381
"595","30084","Wed",0.2
"596","30084-A","Fri",-0.105263157894737
"597","30084-A","Mon",0.0927835051546392
"598","30084-A","Sat",-0.36
"599","30084-A","Sun",0.0916666666666667
"600","30084-A","Thu",-0.00819672131147541
"601","30084-A","Tue",-0.172043010752688
"602","30084-A","Wed",-0.0927835051546392
"603","30085","Fri",0.104761904761905
"604","30085","Mon",0.0882352941176471
"605","30085","Sat",0.00662251655629139
"606","30085","Sun",-0.0610687022900763
"607","30085","Thu",-0.00847457627118644
"608","30085","Tue",0
"609","30085","Wed",-0.0192307692307692
"610","30086","Fri",-0.12280701754386
"611","30086","Mon",0.141666666666667
"612","30086","Sat",0.0705128205128205
"613","30086","Sun",0.0785714285714286
"614","30086","Thu",0
"615","30086","Tue",-0.108910891089109
"616","30086","Wed",0
"617","30087","Fri",0.215686274509804
"618","30087","Mon",-0.018348623853211
