"","Stationnumber","weekday","hour","Rideoutminusin"
"305","30001","Wed",15,-0.5
"306","30001","Wed",16,-0.6875
"307","30001","Wed",17,-0.85
"308","30001","Wed",18,-2
"309","30001","Wed",19,-0.764705882352941
"310","30001","Wed",20,0.0833333333333333
"311","30001","Wed",21,-0.75
"312","30001","Wed",22,-1
"313","30001","Wed",23,-1
"314","30002","Fri",0,-1
"315","30002","Fri",1,-1.5
"316","30002","Fri",4,-1
"317","30002","Fri",6,-0.285714285714286
"318","30002","Fri",7,-0.80952380952381
"319","30002","Fri",8,-0.5
"320","30002","Fri",9,-0.8
"321","30002","Fri",10,0.24
"322","30002","Fri",11,0.416666666666667
"323","30002","Fri",12,0.210526315789474
"324","30002","Fri",13,-0.0434782608695652
"325","30002","Fri",14,-0.882352941176471
"326","30002","Fri",15,0.181818181818182
"327","30002","Fri",16,1.375
"328","30002","Fri",17,0.526315789473684
"329","30002","Fri",18,0.615384615384615
"330","30002","Fri",19,0.555555555555556
"331","30002","Fri",20,-0.111111111111111
"332","30002","Fri",21,-0.2
"333","30002","Fri",22,0
"334","30002","Fri",23,-0.333333333333333
"335","30002","Mon",0,1
"336","30002","Mon",1,0.5
"337","30002","Mon",4,-1
"338","30002","Mon",6,0.6
"339","30002","Mon",7,-0.8
"340","30002","Mon",8,-0.571428571428571
"341","30002","Mon",9,-0.666666666666667
"342","30002","Mon",10,-0.153846153846154
"343","30002","Mon",11,-0.125
"344","30002","Mon",12,-0.176470588235294
"345","30002","Mon",13,-0.611111111111111
"346","30002","Mon",14,-0.25
"347","30002","Mon",15,-0.25
"348","30002","Mon",16,0.961538461538462
"349","30002","Mon",17,-0.0476190476190476
"350","30002","Mon",18,0.0454545454545455
"351","30002","Mon",19,-0.214285714285714
"352","30002","Mon",20,0.333333333333333
"353","30002","Mon",21,0.285714285714286
"354","30002","Mon",22,1
"355","30002","Mon",23,0.166666666666667
"356","30002","Sat",0,-0.166666666666667
"357","30002","Sat",1,-1
"358","30002","Sat",2,-1.5
"359","30002","Sat",4,-1
"360","30002","Sat",6,-0.5
"361","30002","Sat",7,0.181818181818182
"362","30002","Sat",8,0.25
"363","30002","Sat",9,-0.428571428571429
"364","30002","Sat",10,0.714285714285714
"365","30002","Sat",11,0.25
"366","30002","Sat",12,-0.166666666666667
"367","30002","Sat",13,0.461538461538462
"368","30002","Sat",14,-0.391304347826087
"369","30002","Sat",15,0.0666666666666667
"370","30002","Sat",16,0.333333333333333
"371","30002","Sat",17,0.7
"372","30002","Sat",18,0
"373","30002","Sat",19,-0.166666666666667
"374","30002","Sat",20,-0.857142857142857
"375","30002","Sat",21,0
"376","30002","Sat",22,0.2
"377","30002","Sat",23,1
"378","30002","Sun",0,-1.33333333333333
"379","30002","Sun",1,-1
"380","30002","Sun",2,-1.2
"381","30002","Sun",4,-2
"382","30002","Sun",6,-0.333333333333333
"383","30002","Sun",7,0.545454545454545
"384","30002","Sun",8,0.2
"385","30002","Sun",9,-0.6
"386","30002","Sun",10,-0.2
"387","30002","Sun",11,0.454545454545455
"388","30002","Sun",12,0.307692307692308
"389","30002","Sun",13,0.25
"390","30002","Sun",14,-0.882352941176471
"391","30002","Sun",15,0.666666666666667
"392","30002","Sun",16,0.0833333333333333
"393","30002","Sun",17,0.727272727272727
"394","30002","Sun",18,-0.153846153846154
"395","30002","Sun",19,-0.7
"396","30002","Sun",20,0.111111111111111
"397","30002","Sun",21,0.428571428571429
"398","30002","Sun",22,0.5
"399","30002","Sun",23,0
"400","30002","Thu",0,1
"401","30002","Thu",5,-1
"402","30002","Thu",6,0.111111111111111
"403","30002","Thu",7,-0.333333333333333
"404","30002","Thu",8,-0.0952380952380952
"405","30002","Thu",9,-0.869565217391304
"406","30002","Thu",10,0.0555555555555556
"407","30002","Thu",11,0.611111111111111
"408","30002","Thu",12,-0.423076923076923
"409","30002","Thu",13,-0.947368421052632
"410","30002","Thu",14,-0.166666666666667
"411","30002","Thu",15,0.230769230769231
"412","30002","Thu",16,0.833333333333333
"413","30002","Thu",17,0.48
"414","30002","Thu",18,0.235294117647059
"415","30002","Thu",19,0.714285714285714
"416","30002","Thu",20,-0.307692307692308
"417","30002","Thu",21,0
"418","30002","Thu",22,-0.2
"419","30002","Thu",23,0.666666666666667
"420","30002","Tue",0,0.5
"421","30002","Tue",1,-1
"422","30002","Tue",4,-1
"423","30002","Tue",5,-1
"424","30002","Tue",6,0.0769230769230769
"425","30002","Tue",7,-0.111111111111111
"426","30002","Tue",8,-0.590909090909091
"427","30002","Tue",9,-0.363636363636364
"428","30002","Tue",10,0
"429","30002","Tue",11,0.294117647058824
